claude_tier,title,close_date,pub_date,buyer,gsin,unspsc,category,contact_email,notice_url,why_it
Strong fit,Shared Services Canada - Red Hat Minor Contract,2026-06-29T14:00:00,2026-06-16,Shared Services Canada,*N7030,,*GD,,,"keywords: licensing, software"
Strong fit,Aftercare Psychological Services – Greater Ontario and Nunavut District in the Ontario Region,2026-07-08T14:00:00,2026-06-18,Correctional Service of Canada (CSC),,*Healthcare provider specialist services,*SRV,ashley.claessen-sarault@csc-scc.gc.ca,,keywords: website
Strong fit,Defence Expert Analysis and Assistance (DEAA),2026-07-14T14:00:00,2026-06-19,Department of Public Works and Government Services (PSPC),,"*Management advisory services
*Professional procurement services
*Procurement process as a service
*Financial assistance
*Financial asset management service
*Military services and national defense
*Defense contracts",*SRV,Ron.Dearing@tpsgc-pwgsc.gc.ca,,keywords: application
Strong fit,Marine Propellers,2026-07-21T17:00:00,2026-06-18,Royal Canadian Mounted Police (RCMP),,*Marine craft systems and subassemblies,*GD,alice.weng@rcmp-grc.gc.ca,,keywords: website
Strong fit,Unsupervised Internet Test(s) – Stream 1 for Assessing Cognitive Abilities,2026-07-21T14:00:00,2026-06-19,Canada Revenue Agency (CRA),,*Personnel recruitment,*SRV,huyquan.do@cra-arc.gc.ca,,"keywords: computer, licensing, platform"
Possible fit,ADV -  What We Heard Report,2026-06-30T14:00:00,2026-06-19,Shared Services Canada,*N7030,,*GD,,,keywords: software
Possible fit,NOTICE OF PROPOSED PROCUREMENT - Supply Access Control Hardware for Toronto IHC Project,2026-06-30T15:00:00,2026-06-15,Canada Border Services Agency (CBSA),,"*Security surveillance and detection
*Security or access control systems",*GD,catrina.santiago@cbsa-asfc.gc.ca,,"keywords: automation, network"
Possible fit,Requisition and installation of Walk-in freezer at the London Research and Development Centre,2026-06-30T14:00:00,2026-06-15,Department of Agriculture and Agri-Food (AAFC),,"*Electrical services
*Electrical cable laying service
*Domestic or commercial appliance installation service
*Electrical equipment maintenance and repair service",*CNST,carol.rahal@agr.gc.ca,,keywords: platform
Possible fit,Community Residential Facility (CRF) - Thunder Woman Healing Lodge Society,2026-06-30T14:00:00,2026-06-15,Correctional Service of Canada (CSC),,*Vocational rehabilitation services,*SRV,Mbinwi.Ghogomu@csc-scc.gc.ca,,keywords: information technology
Possible fit,"Services of verbatim court reporters, on an ""as-required"" basis, to provide bilingual verbatim court reporting services at public hearings various locations across Canada.",2026-07-08T15:00:00,2026-06-19,Canadian Radio-Television and Telecommunications Commission (CRTC),,*Court reporting services,*SRV,Approvisionnements-Procurements@crtc.gc.ca,,keywords: digital
Possible fit,Change Management Consultant – Level 3,2026-07-10T14:00:00,2026-06-15,Department of Industry (ISED),,*Change management communication and advisory service,*SRV,Jessica.Cadieux@ised-isde.gc.ca,,"keywords: digital, im/it"
Possible fit,Psychiatric Services -Halifax/Dartmouth Parole Offices and Jamieson Community Correctional Centre in the Atlantic region,2026-07-10T14:00:00,2026-06-19,Correctional Service of Canada (CSC),,"*Traditional healthcare services
*Medical doctor specialist services
*Healthcare provider specialist services",*SRV,Sylvie.Gallant@csc-scc.gc.ca,,keywords: website
Possible fit,Pacific Offshore Oceanographic Science Vessel Service,2026-07-13T14:00:00,2026-06-18,Department of Fisheries and Oceans (DFO),,*Research vessel,*SRV,DFO.Tenders-Soumissions.MPO@dfo-mpo.gc.ca,,keywords: platform
Possible fit,Sprinkler Head Replacement,2026-07-20T17:00:00,2026-06-15,Correctional Service of Canada (CSC),,*Fire sprinkler heads,*CNST,801bidsubmissions@csc-scc.gc.ca,,keywords: website
Possible fit,W857A-26DN01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA DUNDURN,2026-07-20T14:00:00,2026-06-18,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Specialized trade construction and maintenance services
*Heating system maintenance and repair service
*Electrical equipment maintenance and repair service
*Facilities management
*Plumbing or sewer inspection service",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110016358?anId=ANONYMOUS,"keywords: network, website"
Possible fit,W3707-25ES01 - STANDING OFFER - RESPONSIVE MAINTENANCE AND MINOR REPAIRS SERVICES - CFHA ESQUIMALT,2026-07-20T14:00:00,2026-06-18,Department of Public Works and Government Services (PSPC),,"*Building and Facility Construction and Maintenance Services
*Building and facility maintenance and repair services
*Facility maintenance and repair services
*Specialized trade construction and maintenance services
*Residential painting service
*Terrazzo tile and marble and mosaic services
*Carpentry services
*Floor laying services
*Roofing service
*Hazardous material decontamination
*Facilities management",*SRV,kristen.bell-lalonde@tpsgc-pwgsc.gc.ca,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110016361?anId=ANONYMOUS,"keywords: network, website"
Possible fit,Enterprise Data Observability and Governance SaaS Solution,2026-07-30T16:00:00,2026-06-19,Farm Credit Canada (FCC),,,*SRV,procurement@fcc-fac.ca,https://www.merx.com/public/solicitations/4003535985/abstract?language=EN,"keywords: cloud, platform, saas, software"
Possible fit (with caveats),Oliver Detachment Exterior Security Upgrades,2026-07-08T17:00:00,2026-06-17,Royal Canadian Mounted Police (RCMP),,*Specialized public building construction services,*CNST,Kathleen.Nillas@rcmp-grc.gc.ca,,keywords: website
Possible fit (with caveats),Workstations with Storage and Electrical Outlets,2026-07-15T11:00:00,2026-06-15,Department of National Defence (DND),,"*Furniture
*Desks",*GD,jill.foster@forces.gc.ca,,keywords: website
Possible fit (with caveats),MARPAC Formation Safety and Environment – Training Development Services,2026-07-28T14:00:00,2026-06-16,Defence Construction Canada / Construction de Défense Canada,,,*SRV,justin.bennett@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/3999963705/abstract?language=EN,"keywords: development services, website"
Possible fit (with caveats),Design & Construction of a New Accommodations Buildings at 22 Wing CFB North Bay,2026-07-28T14:00:00,2026-06-18,Defence Construction Canada / Construction de Défense Canada,,,*CNST,justin.bennett@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/4001461209/abstract?language=EN,keywords: website
Possible fit (with caveats),APN-DESIGN & CONSTRUCTION OF THE SNOW AND ICE CONTROL / HEAVY EQUIPMENT FACILITY,2026-09-19T16:00:00,2026-06-19,Defence Construction Canada - Western Region,,,*CNST,gerry.melake@dcc-cdc.gc.ca,https://www.merx.com/public/solicitations/4003517718/abstract?language=EN,"keywords: application, im/it, information management, information technology, website"
Unlikely,Recruitment Sourcing and Talent Search Platform,2026-06-25T14:00:00,2026-06-18,Office of the Superintendent of Financial Institutions (OSFI),,*Cloud-based software as a service,*SRV,contracting-approvisionnement@osfi-bsif.gc.ca,,"keywords: cloud, platform, saas, software"
Unlikely,"Spares, cables and RTU",2026-06-29T14:00:00,2026-06-17,Department of National Defence (DND),,*Communication satellites,*GD,dany.lebel2@forces.gc.ca,,keywords: platform
Unlikely,Zerto Virtual Replication Licenses,2026-06-30T13:00:00,2026-06-15,Export Development Canada - EDC,,,*GD,solicitations@edc.ca,https://www.merx.com/public/solicitations/3998796777/abstract?language=EN,keywords: licensing
Unlikely,Process Mapping and Redesign - Registry Operations,2026-06-30T16:00:00,2026-06-15,Administrative Tribunals Support Service of Canada (ATSSC),,*Business intelligence consulting services,*SRV,marc.fortin@tribunal.gc.ca,,keywords: digital
Unlikely,NPP - A.6 Programmer/Software Developer (Level 3),2026-06-30T14:00:00,2026-06-15,Department of the Environment (ECCC ),,*Information technology IT management services,*SRV,samantha.hatzinikou@ec.gc.ca,,"keywords: developer, software"
Unlikely,Lowbed Trailers,2026-07-02T14:00:00,2026-06-17,Department of National Defence (DND),,*Vehicle bodies and trailers,*GD,mylene.faguy@forces.gc.ca,,keywords: cloud
